Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
96	-587	3889	-42	-27	26	62	-24	128	0	0	0	57532702
90	-600	3884	-44	-26	28	62	-24	128	1	99	1	57532706
95	-592	3919	-43	-26	25	55	-21	121	2	150	2	57532707
84	-588	3895	-43	-24	25	55	-21	121	3	249	3	57532707
86	-590	3892	-40	-24	30	54	-20	118	4	300	4	57532710
70	-587	3886	-43	-26	26	54	-20	118	5	399	5	57532710
87	-590	3873	-41	-25	26	51	-15	117	6	450	6	57532713
85	-596	3880	-41	-25	27	51	-15	117	7	549	7	57532717
81	-594	3853	-45	-23	27	56	-26	122	8	600	8	57532718
73	-607	3879	-44	-22	25	56	-26	122	9	699	9	57532752
79	-599	3889	-42	-24	28	55	-23	123	10	750	10	57532753
88	-583	3891	-42	-24	27	55	-23	123	11	849	11	57532755
94	-588	3914	-39	-24	26	51	-23	123	12	900	12	57532756
89	-582	3872	-42	-24	27	51	-23	123	13	999	13	57532756
91	-597	3890	-43	-22	28	53	-19	115	14	1050	14	57532760
101	-595	3895	-41	-20	26	53	-19	115	15	1149	15	57532760
90	-603	3880	-40	-24	26	55	-19	117	16	1200	16	57532762
96	-613	3904	-39	-25	28	55	-19	117	17	1299	17	57532765
88	-594	3903	-39	-25	27	60	-20	122	18	1350	18	57532765
85	-607	3882	-41	-25	27	60	-20	122	19	1449	19	57532800
84	-599	3894	-41	-24	28	55	-23	125	20	1500	20	57532801
89	-591	3860	-42	-23	25	55	-23	125	21	1599	21	57532807
64	-595	3891	-39	-24	30	56	-22	124	22	1650	22	57532809
76	-605	3866	-39	-25	29	56	-22	124	23	1749	23	57532809
98	-597	3873	-40	-26	26	58	-20	116	24	1800	24	57532810
85	-592	3881	-42	-25	29	58	-20	116	25	1899	25	57532810
78	-603	3885	-44	-25	28	54	-26	116	26	1950	26	57532818
86	-596	3903	-44	-24	25	54	-26	116	27	2049	27	57532818
92	-605	3874	-44	-23	26	55	-23	119	28	2100	28	57532819
89	-591	3906	-43	-24	28	55	-23	119	29	2199	29	57532849
87	-594	3907	-43	-27	26	52	-24	118	30	2250	30	57532849
80	-588	3882	-43	-24	25	52	-24	118	31	2349	31	57532852
103	-599	3886	-43	-23	29	54	-20	126	32	2400	32	57532852
