Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
220	1143	3768	-43	-23	26	-127	-15	101	0	0	0	57965635
219	1152	3750	-40	-27	26	-127	-11	101	1	51	1	57965639
218	1154	3738	-43	-26	26	-127	-11	101	2	150	2	57965639
221	1157	3759	-43	-26	27	-134	-12	100	3	201	3	57965641
222	1139	3760	-46	-23	27	-134	-12	100	4	300	4	57965642
223	1151	3754	-40	-25	25	-133	-15	93	5	351	5	57965643
213	1143	3770	-44	-25	27	-133	-15	93	6	450	6	57965646
221	1153	3759	-41	-27	29	-121	-17	105	7	501	7	57965646
226	1148	3747	-44	-29	27	-121	-17	105	8	600	8	57965652
207	1137	3740	-44	-26	28	-127	-17	101	9	650	9	57965685
213	1145	3756	-43	-25	27	-127	-17	101	10	749	10	57965685
216	1144	3764	-42	-25	27	-124	-14	98	11	800	11	57965688
197	1158	3752	-44	-24	25	-124	-14	98	12	899	12	57965689
221	1154	3766	-40	-25	29	-129	-13	99	13	950	13	57965691
242	1155	3756	-44	-25	28	-129	-13	99	14	1049	14	57965693
222	1147	3773	-40	-26	26	-129	-13	93	15	1100	15	57965693
229	1139	3751	-43	-25	26	-129	-13	93	16	1198	16	57965696
225	1149	3754	-41	-26	27	-123	-17	103	17	1249	17	57965696
223	1148	3757	-43	-27	25	-123	-17	103	18	1348	18	57965702
223	1138	3772	-41	-27	27	-133	-15	103	19	1399	19	57965735
219	1139	3767	-41	-24	27	-133	-15	103	20	1498	20	57965737
220	1158	3743	-39	-24	27	-127	-13	97	21	1549	21	57965739
222	1143	3752	-40	-25	27	-127	-13	97	22	1648	22	57965739
219	1160	3735	-40	-28	28	-123	-11	89	23	1699	23	57965741
210	1146	3764	-41	-26	26	-123	-11	89	24	1798	24	57965742
220	1137	3753	-39	-26	27	-131	-13	93	25	1849	25	57965743
218	1158	3761	-42	-25	29	-131	-13	93	26	1948	26	57965746
217	1150	3756	-43	-25	25	-130	-10	90	27	1999	27	57965746
223	1146	3764	-43	-26	27	-130	-10	90	28	2098	28	57965781
227	1149	3740	-41	-24	27	-132	-18	104	29	2149	29	57965781
227	1139	3747	-43	-24	25	-132	-18	104	30	2248	30	57965783
214	1145	3747	-41	-25	25	-126	-14	98	31	2299	31	57965786
203	1151	3743	-41	-23	26	-126	-14	98	32	2398	32	57965788
216	1154	3770	-41	-26	26	-129	-9	95	33	2449	33	57965789
214	1127	3776	-44	-23	28	-129	-9	95	34	2548	34	57965789
228	1142	3778	-43	-26	27	-127	-13	97	35	2599	35	57965791
219	1151	3766	-43	-25	27	-127	-13	97	36	2698	36	57965817
209	1144	3763	-41	-24	25	-127	-17	103	37	2749	37	57965818
218	1160	3746	-38	-26	26	-127	-17	103	38	2848	38	57965821
231	1152	3766	-40	-28	25	-124	-14	100	39	2899	39	57965822
219	1152	3781	-44	-23	25	-124	-14	100	40	2998	40	57965824
217	1139	3755	-41	-25	27	-128	-10	104	41	3049	41	57965825
229	1161	3777	-40	-28	28	-128	-10	104	42	3148	42	57965825
226	1171	3754	-41	-26	25	-130	-14	102	43	3199	43	57965833
238	1138	3754	-41	-26	27	-130	-14	102	44	3298	44	57965833
225	1149	3749	-41	-25	27	-125	-15	99	45	3349	45	57965835
217	1149	3759	-41	-26	23	-125	-15	99	46	3448	46	57965870
225	1148	3756	-41	-27	26	-132	-14	98	47	3499	47	57965873
218	1160	3779	-45	-26	26	-132	-14	98	48	3597	48	57965881
220	1159	3760	-42	-27	23	-123	-7	95	49	3648	49	57965883
206	1146	3735	-43	-25	25	-123	-7	95	50	3747	50	57965883
217	1153	3742	-40	-27	26	-126	-14	96	51	3798	51	57965883
212	1133	3763	-42	-26	25	-126	-14	96	52	3897	52	57965884
220	1153	3755	-42	-25	27	-127	-15	97	53	3948	53	57965884
235	1154	3764	-43	-26	27	-127	-15	97	54	4047	54	57965884
226	1134	3738	-41	-24	25	-128	-10	102	55	4098	55	57965916
218	1138	3752	-39	-25	31	-128	-10	102	56	4196	56	57965916
224	1145	3749	-39	-25	28	-126	-16	98	57	4247	57	57965918
210	1154	3734	-41	-23	26	-126	-16	98	58	4346	58	57965920
216	1159	3741	-41	-25	26	-132	-10	100	59	4397	59	57965920
231	1147	3750	-43	-25	27	-132	-10	100	60	4496	60	57965923
221	1137	3753	-42	-29	25	-128	-14	92	61	4547	61	57965924
204	1141	3759	-43	-28	28	-128	-14	92	62	4646	62	57965926
229	1139	3771	-41	-26	29	-132	-14	92	63	4697	63	57965931
220	1143	3761	-41	-22	25	-132	-14	92	64	4796	64	57965931
223	1152	3757	-39	-27	27	-125	-15	99	65	4847	65	57965942
223	1154	3754	-43	-25	25	-125	-15	99	66	4946	66	57965942
199	1142	3730	-41	-28	27	-131	-15	99	67	4997	67	57965946
216	1150	3745	-43	-26	28	-131	-15	99	68	5096	68	57965978
210	1163	3770	-43	-28	29	-130	-10	102	69	5147	69	57965978
224	1130	3749	-44	-23	29	-130	-10	102	70	5246	70	57965981
227	1155	3747	-43	-28	27	-133	-11	97	71	5297	71	57965982
235	1135	3740	-42	-26	28	-133	-11	97	72	5396	72	57965984
225	1144	3775	-41	-25	23	-132	-14	94	73	5447	73	57965986
224	1149	3756	-43	-23	25	-132	-14	94	74	5546	74	57965986
227	1158	3747	-44	-22	27	-129	-13	91	75	5597	75	57965990
227	1148	3743	-44	-26	27	-129	-13	91	76	5696	76	57965990
220	1138	3757	-41	-22	26	-128	-14	102	77	5747	77	57965994
206	1154	3748	-41	-27	28	-128	-14	102	78	5846	78	57966026
217	1158	3758	-41	-25	25	-125	-15	101	79	5897	79	57966027
220	1147	3744	-42	-26	28	-125	-15	101	80	5996	80	57966030
215	1144	3758	-40	-25	28	-128	-14	98	81	6047	81	57966030
218	1143	3739	-44	-28	27	-128	-14	98	82	6146	82	57966032
213	1144	3745	-43	-26	27	-129	-9	103	83	6197	83	57966034
219	1157	3767	-42	-23	26	-129	-9	103	84	6296	84	57966034
230	1158	3757	-41	-26	25	-129	-13	93	85	6347	85	57966041
224	1141	3769	-41	-23	26	-129	-13	93	86	6446	86	57966042
211	1142	3766	-41	-25	27	-128	-14	100	87	6497	87	57966078
219	1140	3744	-43	-26	29	-128	-14	100	88	6596	88	57966080
212	1136	3774	-44	-27	26	-129	-13	101	89	6647	89	57966081
218	1136	3731	-44	-25	25	-129	-13	101	90	6746	90	57966081
219	1138	3779	-41	-26	26	-125	-17	97	91	6797	91	57966082
211	1156	3753	-41	-26	26	-125	-17	97	92	6896	92	57966084
208	1157	3755	-43	-26	27	-126	-12	102	93	6947	93	57966086
213	1150	3751	-43	-23	26	-126	-12	102	94	7046	94	57966087
228	1130	3749	-43	-24	26	-127	-15	97	95	7097	95	57966089
217	1144	3778	-43	-24	27	-127	-15	97	96	7196	96	57966089
203	1150	3765	-43	-26	28	-131	-15	101	97	7247	97	57966124
219	1154	3748	-44	-25	27	-131	-15	101	98	7346	98	57966127
202	1131	3753	-43	-26	28	-129	-15	103	99	7397	99	57966128
213	1141	3760	-44	-24	30	-129	-15	103	100	7496	100	57966128
230	1152	3749	-43	-27	23	-127	-17	95	101	7547	101	57966129
226	1132	3752	-43	-26	25	-127	-17	95	102	7646	102	57966131
213	1144	3738	-44	-23	25	-127	-13	91	103	7697	103	57966132
226	1159	3749	-44	-27	25	-127	-13	91	104	7796	104	57966134
205	1133	3752	-42	-26	29	-126	-14	100	105	7847	105	57966140
206	1148	3767	-41	-26	28	-126	-14	100	106	7946	106	57966141
206	1122	3751	-40	-26	28	-126	-12	102	107	7997	107	57966175
207	1143	3761	-43	-23	29	-126	-12	102	108	8096	108	57966175
221	1134	3742	-43	-24	28	-128	-14	96	109	8147	109	57966177
208	1148	3772	-43	-26	27	-128	-14	96	110	8246	110	57966179
218	1143	3752	-44	-25	26	-128	-12	92	111	8297	111	57966179
219	1145	3755	-43	-26	29	-128	-12	92	112	8396	112	57966183
207	1144	3731	-42	-27	27	-136	-12	96	113	8446	113	57966188
209	1150	3773	-42	-26	26	-136	-12	96	114	8545	114	57966188
216	1145	3753	-40	-27	27	-133	-13	93	115	8596	115	57966188
229	1140	3744	-43	-24	27	-133	-13	93	116	8695	116	57966189
224	1155	3748	-42	-26	26	-122	-16	102	117	8746	117	57966222
223	1157	3751	-42	-24	29	-122	-16	102	118	8845	118	57966223
218	1154	3756	-40	-24	25	-126	-14	100	119	8896	119	57966226
239	1158	3740	-42	-27	26	-126	-14	100	120	8994	120	57966226
224	1149	3750	-42	-27	27	-127	-9	97	121	9045	121	57966228
231	1151	3723	-42	-25	25	-127	-9	97	122	9144	122	57966230
218	1151	3755	-43	-25	26	-130	-10	96	123	9195	123	57966230
215	1144	3748	-44	-25	27	-130	-10	96	124	9294	124	57966233
223	1145	3732	-42	-27	27	-126	-14	98	125	9345	125	57966234
233	1150	3762	-44	-25	25	-126	-14	98	126	9444	126	57966239
226	1136	3771	-43	-28	28	-132	-18	96	127	9495	127	57966273
226	1145	3756	-42	-24	27	-132	-18	96	128	9594	128	57966280
221	1159	3747	-44	-25	24	-128	-12	98	129	9645	129	57966284
221	1151	3771	-42	-25	28	-128	-12	98	130	9743	130	57966284
221	1149	3761	-43	-25	28	-128	-10	96	131	9794	131	57966285
220	1147	3760	-42	-24	26	-128	-10	96	132	9892	132	57966287
236	1152	3766	-42	-24	29	-131	-15	93	133	9943	133	57966288
227	1144	3755	-43	-24	27	-131	-15	93	134	10041	134	57966288
212	1147	3746	-40	-26	26	-129	-15	95	135	10092	135	57966288
219	1150	3758	-42	-23	26	-129	-15	95	136	10190	136	57966288
217	1157	3745	-41	-24	28	-130	-14	96	137	10241	137	57966320
212	1150	3746	-41	-28	25	-130	-14	96	138	10340	138	57966320
231	1145	3754	-39	-27	27	-125	-13	97	139	10391	139	57966324
216	1140	3763	-40	-24	27	-125	-13	97	140	10490	140	57966324
218	1146	3753	-41	-24	24	-130	-12	98	141	10541	141	57966326
227	1147	3760	-45	-24	28	-130	-12	98	142	10640	142	57966328
218	1147	3765	-43	-25	27	-127	-11	95	143	10691	143	57966328
222	1155	3736	-41	-23	26	-127	-11	95	144	10790	144	57966333
207	1134	3757	-41	-26	28	-127	-15	99	145	10841	145	57966333
225	1150	3766	-44	-25	27	-127	-15	99	146	10939	146	57966339
