Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
401	308	3805	-20	-28	23	-31	165	187	0	0	0	57728158
403	317	3781	-22	-33	42	-23	161	187	1	54	1	57728158
397	310	3833	-23	-33	4	-23	161	187	2	156	2	57728161
395	310	3817	-22	-33	51	-24	160	180	3	210	3	57728162
392	304	3764	-19	-33	25	-24	160	180	4	312	4	57728165
367	309	3776	-21	-31	53	-31	165	183	5	366	5	57728166
411	301	3826	-14	-36	51	-31	165	183	6	468	6	57728166
388	330	3780	-16	-35	24	-29	161	183	7	522	7	57728173
402	316	3787	-21	-34	41	-29	161	183	8	624	8	57728173
401	331	3791	-17	-33	30	-25	167	179	9	678	9	57728207
410	328	3804	-21	-35	76	-25	167	179	10	780	10	57728207
413	308	3768	-19	-33	49	-30	158	180	11	834	11	57728210
403	316	3770	-21	-34	19	-30	158	180	12	936	12	57728211
389	331	3790	-18	-33	66	-24	164	180	13	990	13	57728211
412	332	3790	-21	-35	36	-24	164	180	14	1092	14	57728215
403	322	3804	-20	-32	9	-29	163	185	15	1146	15	57728216
393	325	3791	-17	-35	69	-29	163	185	16	1248	16	57728217
415	303	3790	-16	-32	19	-29	163	179	17	1302	17	57728220
422	323	3794	-19	-35	38	-29	163	179	18	1404	18	57728221
424	330	3787	-16	-34	41	-25	163	187	19	1458	19	57728255
425	322	3792	-14	-34	15	-25	163	187	20	1560	20	57728256
386	316	3794	-20	-31	16	-28	166	182	21	1614	21	57728257
403	306	3795	-20	-32	3	-28	166	182	22	1716	22	57728259
394	324	3791	-20	-34	-18	-33	167	179	23	1770	23	57728259
407	312	3803	-17	-31	43	-33	167	179	24	1872	24	57728262
399	316	3781	-21	-30	49	-28	166	176	25	1926	25	57728263
401	336	3823	-18	-35	-7	-28	166	176	26	2028	26	57728265
413	339	3803	-17	-37	4	-28	162	182	27	2082	27	57728267
428	319	3804	-18	-33	47	-28	162	182	28	2184	28	57728267
394	336	3805	-18	-35	32	-23	163	189	29	2238	29	57728302
419	316	3779	-14	-33	50	-23	163	189	30	2340	30	57728303
393	319	3806	-18	-34	37	-29	161	181	31	2394	31	57728306
407	325	3801	-17	-33	19	-29	161	181	32	2496	32	57728307
411	303	3778	-21	-34	102	-31	169	179	33	2550	33	57728307
409	319	3784	-19	-35	-22	-31	169	179	34	2652	34	57728310
395	317	3786	-19	-32	18	-29	161	177	35	2706	35	57728310
414	314	3809	-17	-31	37	-29	161	177	36	2808	36	57728316
406	333	3792	-15	-31	7	-25	161	185	37	2862	37	57728316
393	325	3816	-17	-32	-18	-25	161	185	38	2964	38	57728319
418	334	3836	-20	-33	-35	-30	162	184	39	3018	39	57728351
410	322	3847	-21	-35	0	-30	162	184	40	3120	40	57728352
418	343	3817	-13	-31	40	-28	162	186	41	3174	41	57728355
421	337	3819	-18	-31	13	-28	162	186	42	3276	42	57728355
355	301	3703	-16	-26	61	-30	164	180	43	3330	43	57728357
403	292	3752	-19	-32	60	-30	164	180	44	3432	44	57728359
373	293	3825	-21	-32	12	-30	162	176	45	3486	45	57728359
386	309	3787	-20	-28	18	-30	162	176	46	3588	46	57728364
397	302	3773	-18	-26	50	-26	162	182	47	3642	47	57728364
416	304	3818	-18	-34	41	-26	162	182	48	3744	48	57728367
434	319	3846	-19	-34	24	-25	157	185	49	3798	49	57728400
420	320	3802	-13	-32	48	-25	157	185	50	3900	50	57728400
428	344	3788	-13	-34	-3	-32	158	186	51	3954	51	57728404
419	343	3798	-19	-33	34	-32	158	186	52	4056	52	57728404
393	308	3805	-21	-36	108	-31	165	183	53	4110	53	57728406
398	304	3776	-15	-34	64	-31	165	183	54	4212	54	57728408
396	305	3782	-14	-34	37	-33	163	175	55	4266	55	57728408
385	309	3786	-21	-33	11	-33	163	175	56	4368	56	57728413
385	308	3802	-21	-33	-48	-30	160	182	57	4422	57	57728413
386	314	3809	-15	-35	22	-30	160	182	58	4524	58	57728416
419	318	3819	-19	-34	30	-29	161	187	59	4578	59	57728448
400	321	3780	-21	-32	-15	-29	161	187	60	4680	60	57728448
421	328	3801	-19	-33	23	-26	168	184	61	4734	61	57728452
423	340	3800	-24	-31	-53	-26	168	184	62	4836	62	57728452
424	335	3811	-18	-33	-20	-25	161	181	63	4890	63	57728456
423	313	3816	-17	-36	33	-25	161	181	64	4992	64	57728456
424	312	3824	-19	-33	77	-34	166	182	65	5046	65	57728457
405	307	3785	-19	-33	44	-34	166	182	66	5148	66	57728463
402	313	3797	-17	-34	49	-25	159	185	67	5202	67	57728463
410	318	3797	-16	-34	30	-25	159	185	68	5304	68	57728497
410	315	3779	-19	-35	27	-26	162	184	69	5358	69	57728498
412	319	3812	-22	-32	101	-26	162	184	70	5460	70	57728500
419	316	3794	-20	-32	23	-24	162	184	71	5514	71	57728501
398	312	3778	-23	-35	-15	-24	162	184	72	5616	72	57728502
