Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
454	292	3819	-18	-32	34	-20	156	176	0	0	0	57831915
416	303	3767	-18	-31	64	-20	156	176	1	102	1	57831918
428	320	3789	-21	-35	3	-30	154	182	2	156	2	57831920
439	305	3812	-21	-34	-5	-30	154	182	3	258	3	57831921
433	324	3813	-18	-32	48	-29	155	179	4	312	4	57831922
418	315	3760	-17	-34	-11	-29	155	179	5	414	5	57831927
430	287	3807	-21	-36	75	-29	157	177	6	468	6	57831928
444	304	3834	-21	-34	15	-29	157	177	7	570	7	57831928
413	315	3804	-22	-35	23	-29	159	181	8	624	8	57831929
427	306	3781	-19	-34	-1	-29	159	181	9	726	9	57831961
435	305	3792	-20	-35	59	-24	158	178	10	780	10	57831962
441	307	3808	-17	-34	23	-24	158	178	11	882	11	57831965
446	297	3800	-18	-36	20	-20	158	178	12	936	12	57831965
433	294	3781	-17	-35	-46	-20	158	178	13	1038	13	57831968
419	307	3804	-16	-35	-4	-20	160	174	14	1092	14	57831969
432	315	3784	-18	-36	0	-20	160	174	15	1194	15	57831969
453	300	3815	-16	-35	21	-27	161	179	16	1248	16	57831976
426	304	3797	-18	-36	6	-27	161	179	17	1350	17	57831977
429	297	3812	-18	-36	22	-27	153	181	18	1404	18	57831979
412	309	3782	-22	-34	59	-27	153	181	19	1506	19	57832011
414	293	3815	-20	-33	-1	-26	154	180	20	1560	20	57832012
425	304	3790	-17	-35	26	-26	154	180	21	1662	21	57832015
432	300	3784	-17	-31	55	-27	163	175	22	1716	22	57832015
431	319	3788	-17	-32	37	-27	163	175	23	1818	23	57832018
416	300	3794	-19	-32	-74	-30	162	180	24	1872	24	57832019
431	292	3781	-22	-31	-9	-30	162	180	25	1974	25	57832019
414	304	3807	-16	-34	56	-23	165	175	26	2028	26	57832025
435	315	3811	-19	-34	-1	-23	165	175	27	2130	27	57832025
436	315	3797	-14	-34	33	-25	157	181	28	2184	28	57832077
417	313	3795	-18	-36	-13	-25	157	181	29	2286	29	57832077
427	316	3783	-17	-33	-18	-27	153	185	30	2340	30	57832077
448	314	3817	-20	-33	25	-27	153	185	31	2442	31	57832080
456	301	3793	-22	-35	-5	-28	162	176	32	2496	32	57832080
434	309	3780	-21	-34	-17	-28	162	176	33	2598	33	57832084
425	307	3787	-20	-34	0	-30	160	176	34	2652	34	57832085
445	301	3781	-18	-34	13	-30	160	176	35	2754	35	57832087
