Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
176	265	3897	-44	-28	22	-23	25	109	0	0	0	73277222
177	246	3924	-44	-24	28	-23	25	109	1	98	1	73277224
170	245	3932	-43	-22	27	-29	29	113	2	149	2	73277231
177	264	3905	-47	-23	24	-29	29	113	3	247	3	73277235
165	254	3934	-42	-26	26	-27	29	111	4	298	4	73277247
169	252	3919	-46	-27	28	-27	29	111	5	396	5	73277248
164	252	3933	-43	-25	26	-26	26	118	6	447	6	73277249
182	252	3936	-45	-25	26	-26	26	118	7	545	7	73277256
161	256	3931	-42	-25	29	-32	24	114	8	596	8	73277268
160	259	3937	-43	-29	25	-32	24	114	9	694	9	73277275
175	254	3910	-41	-24	25	-22	24	118	10	745	10	73277294
163	269	3911	-42	-24	28	-22	24	118	11	843	11	73277295
166	267	3927	-43	-25	27	-24	28	108	12	894	12	73277296
151	271	3911	-43	-26	26	-24	28	108	13	992	13	73277297
157	268	3922	-44	-24	27	-27	23	109	14	1043	14	73277299
179	252	3940	-45	-25	25	-27	23	109	15	1141	15	73277300
157	249	3908	-46	-26	24	-23	23	109	16	1192	16	73277302
160	255	3922	-43	-24	28	-23	23	109	17	1290	17	73277303
153	252	3913	-41	-25	26	-27	23	107	18	1341	18	73277304
151	267	3930	-44	-27	24	-27	23	107	19	1439	19	73277324
182	262	3912	-43	-24	24	-17	19	115	20	1490	20	73277324
150	260	3918	-45	-26	27	-17	19	115	21	1588	21	73277326
166	242	3918	-45	-25	24	-27	27	111	22	1639	22	73277328
174	267	3931	-45	-22	25	-27	27	111	23	1737	23	73277328
154	262	3899	-44	-25	25	-26	30	114	24	1788	24	73277348
164	251	3910	-48	-23	25	-26	30	114	25	1886	25	73277348
154	259	3927	-45	-25	27	-23	21	115	26	1937	26	73277351
180	254	3927	-47	-25	29	-23	21	115	27	2035	27	73277353
170	256	3918	-43	-27	25	-29	29	111	28	2086	28	73277353
172	258	3919	-43	-26	25	-29	29	111	29	2184	29	73277373
162	256	3915	-43	-26	28	-25	21	111	30	2235	30	73277373
174	269	3921	-43	-23	26	-25	21	111	31	2333	31	73277377
157	257	3926	-43	-26	25	-27	25	113	32	2384	32	73277377
165	252	3917	-47	-24	29	-27	25	113	33	2482	33	73277380
163	262	3913	-42	-25	24	-26	20	110	34	2533	34	73277398
164	280	3928	-42	-23	26	-26	20	110	35	2631	35	73277399
160	258	3913	-44	-26	27	-30	20	112	36	2682	36	73277402
177	247	3931	-44	-24	27	-30	20	112	37	2780	37	73277402
171	269	3899	-44	-27	26	-31	27	109	38	2831	38	73277405
183	246	3906	-43	-26	27	-31	27	109	39	2929	39	73277423
165	264	3927	-43	-27	26	-23	23	113	40	2980	40	73277424
168	269	3900	-44	-24	25	-23	23	113	41	3078	41	73277427
162	259	3928	-41	-26	28	-27	29	113	42	3129	42	73277427
155	258	3923	-42	-22	27	-27	29	113	43	3227	43	73277430
158	256	3926	-42	-24	25	-24	24	108	44	3278	44	73277473
174	265	3929	-43	-25	27	-24	24	108	45	3376	45	73277474
179	253	3909	-45	-25	27	-26	26	116	46	3427	46	73277477
165	252	3906	-45	-24	25	-26	26	116	47	3525	47	73277477
147	268	3920	-43	-27	24	-26	26	106	48	3576	48	73277479
171	262	3926	-44	-25	27	-26	26	106	49	3674	49	73277481
153	262	3925	-43	-24	25	-25	25	107	50	3725	50	73277481
159	257	3925	-44	-25	27	-25	25	107	51	3823	51	73277498
165	246	3923	-45	-27	27	-26	20	112	52	3874	52	73277498
166	249	3924	-43	-24	25	-26	20	112	53	3972	53	73277500
156	257	3933	-43	-23	27	-26	26	114	54	4023	54	73277502
166	270	3918	-47	-21	27	-26	26	114	55	4121	55	73277504
159	251	3935	-45	-24	24	-29	27	119	56	4172	56	73277505
166	256	3933	-44	-24	28	-29	27	119	57	4270	57	73277506
156	257	3926	-44	-27	28	-28	26	112	58	4321	58	73277508
162	261	3911	-46	-23	26	-28	26	112	59	4419	59	73277523
164	261	3932	-42	-27	26	-23	19	117	60	4470	60	73277523
165	258	3917	-43	-27	29	-23	19	117	61	4568	61	73277527
167	261	3938	-43	-25	28	-25	19	113	62	4619	62	73277527
174	258	3943	-44	-25	27	-25	19	113	63	4717	63	73277547
156	261	3928	-42	-26	25	-25	23	105	64	4768	64	73277547
159	265	3929	-45	-26	23	-25	23	105	65	4866	65	73277549
170	252	3918	-42	-24	24	-27	21	117	66	4917	66	73277551
168	266	3919	-44	-26	26	-27	21	117	67	5015	67	73277551
156	263	3935	-42	-25	24	-26	26	118	68	5066	68	73277572
169	269	3921	-44	-25	27	-26	26	118	69	5164	69	73277572
168	273	3933	-43	-26	28	-31	21	115	70	5215	70	73277574
171	270	3892	-43	-23	24	-31	21	115	71	5313	71	73277575
175	252	3925	-44	-22	23	-23	27	109	72	5364	72	73277576
168	253	3921	-43	-26	26	-23	27	109	73	5462	73	73277597
158	255	3933	-42	-24	27	-27	19	115	74	5513	74	73277598
169	255	3905	-45	-25	27	-27	19	115	75	5611	75	73277599
180	274	3916	-45	-27	29	-29	25	113	76	5662	76	73277601
165	269	3910	-45	-24	26	-29	25	113	77	5760	77	73277602
165	261	3916	-42	-28	25	-25	27	109	78	5811	78	73277622
165	246	3923	-45	-26	29	-25	27	109	79	5909	79	73277623
160	266	3912	-43	-27	27	-28	22	114	80	5960	80	73277624
178	255	3893	-44	-25	23	-28	22	114	81	6058	81	73277626
169	248	3924	-41	-26	25	-33	27	115	82	6109	82	73277626
174	252	3923	-45	-26	25	-33	27	115	83	6207	83	73277647
160	252	3916	-42	-26	28	-22	22	116	84	6258	84	73277648
183	272	3909	-45	-25	28	-22	22	116	85	6356	85	73277649
165	273	3909	-43	-25	24	-26	20	112	86	6407	86	73277651
176	253	3927	-44	-26	23	-26	20	112	87	6505	87	73277651
163	258	3925	-43	-26	25	-28	24	114	88	6556	88	73277672
162	263	3914	-45	-24	28	-28	24	114	89	6654	89	73277673
166	239	3914	-41	-27	25	-28	22	114	90	6705	90	73277674
160	258	3920	-43	-29	26	-28	22	114	91	6803	91	73277675
174	257	3949	-42	-27	28	-29	25	113	92	6854	92	73277676
163	263	3921	-43	-26	26	-29	25	113	93	6952	93	73277697
168	256	3920	-41	-26	25	-25	23	115	94	7003	94	73277697
161	252	3933	-43	-24	28	-25	23	115	95	7101	95	73277700
175	265	3934	-42	-26	25	-23	23	117	96	7152	96	73277701
175	268	3906	-44	-28	25	-23	23	117	97	7250	97	73277703
185	249	3909	-45	-27	27	-25	23	111	98	7301	98	73277724
161	265	3910	-44	-27	28	-25	23	111	99	7399	99	73277725
164	241	3944	-41	-25	26	-26	24	112	100	7450	100	73277728
167	247	3916	-42	-24	26	-26	24	112	101	7548	101	73277737
168	259	3904	-41	-26	26	-24	22	114	102	7599	102	73277738
165	264	3903	-43	-26	27	-24	22	114	103	7697	103	73277739
171	262	3910	-43	-27	27	-24	26	104	104	7748	104	73277740
166	255	3925	-43	-26	26	-24	26	104	105	7846	105	73277749
165	270	3916	-42	-27	25	-25	25	117	106	7897	106	73277750
163	270	3931	-43	-27	26	-25	25	117	107	7995	107	73277752
166	258	3927	-42	-26	26	-24	20	112	108	8046	108	73277758
158	256	3933	-44	-24	25	-24	20	112	109	8144	109	73277759
176	259	3913	-42	-29	27	-30	26	112	110	8195	110	73277773
171	262	3924	-42	-24	30	-30	26	112	111	8293	111	73277773
153	263	3930	-42	-26	25	-30	20	116	112	8344	112	73277775
162	266	3914	-48	-28	26	-30	20	116	113	8442	113	73277783
