Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
467	299	3808	-20	-33	46	-55	169	185	0	0	0	73277236
434	298	3797	-19	-34	80	-55	169	185	1	101	1	73277239
452	300	3795	-23	-32	14	-58	172	182	2	155	2	73277241
420	294	3780	-22	-33	58	-58	172	182	3	256	3	73277242
447	313	3791	-22	-34	-23	-56	174	176	4	310	4	73277261
436	310	3801	-18	-35	55	-56	174	176	5	411	5	73277271
463	306	3816	-22	-33	42	-57	169	181	6	465	6	73277273
440	293	3796	-20	-31	38	-57	169	181	7	566	7	73277274
430	292	3809	-22	-33	64	-58	176	178	8	620	8	73277274
428	303	3795	-20	-32	56	-58	176	178	9	721	9	73277294
445	293	3810	-18	-31	8	-54	174	186	10	775	10	73277295
446	294	3795	-20	-32	45	-54	174	186	11	876	11	73277295
415	295	3779	-21	-34	28	-58	172	182	12	930	12	73277296
432	307	3788	-20	-31	29	-58	172	182	13	1031	13	73277297
445	294	3814	-20	-34	22	-59	169	183	14	1085	14	73277297
449	314	3805	-22	-34	-9	-59	169	183	15	1186	15	73277309
464	316	3796	-27	-33	8	-57	171	179	16	1240	16	73277310
463	298	3787	-22	-31	6	-57	171	179	17	1341	17	73277311
471	303	3815	-17	-28	61	-56	174	182	18	1395	18	73277320
463	303	3792	-20	-32	-7	-56	174	182	19	1496	19	73277321
462	306	3793	-20	-34	40	-57	175	179	20	1550	20	73277323
453	309	3807	-21	-33	53	-57	175	179	21	1651	21	73277335
446	301	3797	-16	-34	36	-57	177	181	22	1705	22	73277335
455	297	3815	-18	-34	38	-57	177	181	23	1806	23	73277345
448	293	3815	-22	-29	52	-52	172	184	24	1860	24	73277345
429	312	3839	-23	-33	20	-52	172	184	25	1961	25	73277359
425	297	3818	-19	-32	24	-60	172	178	26	2015	26	73277361
432	297	3804	-18	-32	26	-60	172	178	27	2116	27	73277361
455	307	3800	-19	-32	8	-62	176	182	28	2170	28	73277370
458	313	3801	-21	-31	32	-62	176	182	29	2271	29	73277370
452	301	3810	-23	-31	38	-62	172	180	30	2325	30	73277384
449	304	3799	-21	-31	33	-62	172	180	31	2426	31	73277385
452	302	3803	-22	-34	7	-62	172	182	32	2480	32	73277386
424	291	3785	-18	-31	44	-62	172	182	33	2581	33	73277395
447	293	3813	-16	-36	8	-59	171	183	34	2635	34	73277395
440	294	3781	-18	-32	65	-59	171	183	35	2736	35	73277397
426	287	3806	-22	-30	34	-51	173	189	36	2790	36	73277410
427	287	3809	-20	-33	-18	-51	173	189	37	2891	37	73277410
455	296	3795	-22	-32	-29	-60	174	178	38	2945	38	73277419
462	290	3789	-21	-34	18	-60	174	178	39	3046	39	73277420
459	302	3810	-22	-30	-9	-52	170	178	40	3100	40	73277434
456	291	3802	-22	-32	15	-52	170	178	41	3201	41	73277438
463	309	3828	-19	-35	-40	-54	174	182	42	3255	42	73277438
451	286	3802	-22	-33	-4	-54	174	182	43	3356	43	73277443
451	299	3807	-20	-33	54	-54	174	176	44	3410	44	73277444
468	297	3779	-21	-31	-43	-54	174	176	45	3511	45	73277486
438	300	3799	-22	-29	17	-53	169	183	46	3565	46	73277486
