Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
143	369	3901	-44	-27	29	9	1	97	0	0	0	57224476
121	354	3924	-43	-14	25	9	1	97	1	99	1	57224484
114	357	3915	-41	-24	26	-4	6	90	2	150	2	57224484
121	346	3917	-43	-36	29	-4	6	90	3	249	3	57224487
128	345	3887	-41	-25	25	-2	2	98	4	300	4	57224501
102	362	3907	-41	-15	27	-2	2	98	5	399	5	57224502
130	352	3923	-41	-25	28	-1	7	95	6	450	6	57224509
123	364	3910	-42	-36	26	-1	7	95	7	549	7	57224510
121	339	3915	-40	-27	29	3	1	97	8	599	8	57224526
105	371	3905	-42	-24	26	1	5	97	10	618	9	57224529
130	345	3934	-43	-31	28	1	5	97	11	717	10	57224531
142	343	3924	-41	-30	29	-1	9	95	12	767	11	57224531
129	364	3903	-40	-22	25	-1	9	95	13	866	12	57224552
125	341	3889	-39	-19	26	1	3	105	14	917	13	57224552
116	343	3909	-41	-26	30	1	3	105	15	1016	14	57224555
131	346	3913	-37	-32	26	-1	7	97	16	1067	15	57224555
131	371	3906	-44	-25	24	-1	7	97	17	1166	16	57224558
126	363	3898	-44	-18	29	2	6	100	18	1217	17	57224577
116	367	3879	-41	-23	28	2	6	100	19	1316	18	57224577
120	345	3928	-40	-32	26	0	8	96	20	1366	19	57224581
130	371	3908	-43	-26	29	0	8	96	21	1464	20	57224581
117	361	3917	-40	-19	27	-5	9	95	22	1515	21	57224585
123	349	3902	-43	-21	26	-5	9	95	23	1614	22	57224602
118	349	3913	-43	-27	31	-7	5	99	24	1665	23	57224602
120	347	3891	-42	-30	27	-7	5	99	25	1763	24	57224605
135	354	3925	-42	-28	25	-4	4	94	26	1815	25	57224606
108	347	3906	-40	-20	26	-4	4	94	27	1913	26	57224627
136	357	3919	-42	-23	28	4	4	96	28	1964	27	57224627
122	370	3909	-42	-28	27	4	4	96	29	2063	28	57224629
137	364	3916	-43	-30	28	7	3	97	30	2114	29	57224630
130	367	3926	-45	-26	27	7	3	97	31	2213	30	57224631
128	345	3913	-39	-23	25	-2	8	90	32	2264	31	57224651
124	354	3921	-40	-26	26	-2	8	90	33	2363	32	57224652
120	353	3897	-43	-28	27	0	4	100	34	2414	33	57224655
133	347	3902	-42	-25	24	0	4	100	35	2513	34	57224656
107	353	3914	-40	-23	26	3	5	99	36	2563	35	57224658
129	350	3908	-42	-21	26	3	5	99	37	2662	36	57224663
131	369	3907	-40	-27	28	-3	9	97	38	2713	37	57224663
116	341	3913	-44	-26	27	-3	9	97	39	2811	38	57224678
130	358	3915	-41	-25	26	1	-1	101	40	2863	39	57224678
133	356	3915	-45	-24	26	1	-1	101	41	2961	40	57224683
130	370	3920	-41	-30	27	0	8	96	42	3012	41	57224683
126	367	3905	-42	-27	29	0	8	96	43	3110	42	57224686
133	354	3902	-44	-24	27	-2	0	94	44	3161	43	57224703
114	343	3906	-43	-21	28	-2	0	94	45	3260	44	57224703
126	363	3917	-40	-25	27	-4	12	96	46	3311	45	57224708
128	362	3903	-42	-29	25	-4	12	96	47	3410	46	57224709
123	366	3921	-42	-25	25	3	9	101	48	3461	47	57224712
112	346	3903	-42	-22	29	3	9	101	49	3560	48	57224728
132	352	3898	-43	-23	29	0	8	98	50	3611	49	57224728
130	349	3907	-44	-28	27	0	8	98	51	3709	50	57224731
120	367	3934	-41	-25	29	-2	6	94	52	3760	51	57224732
123	344	3899	-42	-21	24	-2	6	94	53	3859	52	57224752
132	370	3910	-41	-23	26	3	-1	99	54	3910	53	57224752
135	361	3901	-42	-26	30	3	-1	99	55	4009	54	57224754
142	359	3923	-39	-30	27	-8	8	102	56	4060	55	57224758
133	357	3910	-43	-27	27	-8	8	102	57	4159	56	57224758
133	357	3914	-42	-23	27	-5	9	95	58	4210	57	57224777
125	366	3899	-43	-24	28	-5	9	95	59	4309	58	57224777
117	354	3908	-44	-29	27	0	8	100	60	4360	59	57224780
123	365	3927	-44	-26	29	0	8	100	61	4459	60	57224780
135	345	3911	-42	-23	29	0	8	92	62	4510	61	57224783
121	359	3900	-43	-23	24	0	8	92	63	4609	62	57224802
