Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
53	295	3852	-39	-25	30	-9	67	81	0	0	0	74841855
42	295	3871	-42	-22	30	-9	67	81	1	100	1	74841859
29	288	3864	-39	-21	27	-9	65	87	2	153	2	74841859
32	293	3888	-39	-25	28	-9	65	87	3	253	3	74841860
53	287	3845	-36	-22	29	-4	66	82	4	306	4	74841880
31	288	3883	-41	-19	26	-4	66	82	5	406	5	74841880
46	285	3871	-37	-21	27	-3	69	89	6	459	6	74841884
52	296	3869	-38	-24	27	-3	69	89	7	559	7	74841884
41	296	3874	-38	-23	25	-4	66	82	8	612	8	74841886
37	273	3871	-38	-23	27	-4	66	82	9	712	9	74841905
42	277	3874	-39	-22	29	0	64	80	10	765	10	74841906
49	279	3854	-41	-25	27	0	64	80	11	865	11	74841909
40	292	3864	-40	-24	29	-3	67	89	12	917	12	74841909
44	290	3873	-40	-21	29	-3	67	89	13	1017	13	74841912
38	294	3883	-38	-25	28	-6	74	80	14	1070	14	74841930
46	291	3880	-38	-20	24	-6	74	80	15	1170	15	74841944
37	288	3862	-40	-23	28	-4	66	88	16	1223	16	74841946
49	295	3873	-43	-22	29	-4	66	88	17	1323	17	74841947
33	276	3868	-40	-23	26	-2	68	82	18	1376	18	74841948
29	290	3861	-41	-23	28	-2	68	82	19	1476	19	74841954
32	307	3856	-40	-24	27	-7	65	85	20	1529	20	74841955
29	291	3880	-38	-23	25	-7	65	85	21	1629	21	74841958
40	286	3882	-40	-25	27	-1	63	81	22	1682	22	74841958
46	288	3867	-39	-24	28	-1	63	81	23	1782	23	74841960
58	278	3886	-38	-25	27	-7	61	83	24	1835	24	74841979
48	279	3871	-40	-26	27	-7	61	83	25	1935	25	74841979
51	280	3864	-38	-22	29	0	64	82	26	1988	26	74841983
52	296	3878	-38	-23	27	0	64	82	27	2088	27	74841984
41	284	3860	-39	-25	27	-9	69	85	28	2141	28	74841985
59	272	3865	-40	-24	28	-9	69	85	29	2241	29	74841990
56	283	3890	-41	-24	26	-2	68	86	30	2294	30	74841992
26	284	3862	-40	-24	29	-2	68	86	31	2394	31	74842004
29	269	3861	-39	-22	31	-8	66	82	32	2447	32	74842004
36	285	3846	-38	-24	27	-8	66	82	33	2547	33	74842014
57	295	3880	-39	-23	27	-3	67	79	34	2600	34	74842014
50	292	3889	-40	-23	28	-3	67	79	35	2700	35	74842029
39	282	3854	-39	-22	26	-2	66	88	36	2753	36	74842030
39	304	3876	-42	-20	28	-2	66	88	37	2853	37	74842031
27	287	3867	-39	-22	27	-7	67	81	38	2906	38	74842039
50	277	3853	-40	-24	25	-7	67	81	39	3006	39	74842039
44	272	3866	-38	-24	26	1	67	89	40	3059	40	74842041
45	277	3856	-40	-25	29	1	67	89	41	3159	41	74842054
34	281	3876	-40	-24	28	-2	66	84	42	3212	42	74842056
51	275	3856	-40	-21	28	-2	66	84	43	3312	43	74842064
55	302	3877	-37	-24	28	0	66	88	44	3365	44	74842065
42	286	3868	-39	-24	28	0	66	88	45	3465	45	74842067
52	283	3862	-39	-25	26	-4	62	82	46	3518	46	74842079
43	283	3842	-40	-23	28	-4	62	82	47	3618	47	74842080
54	272	3879	-39	-24	30	1	71	87	48	3671	48	74842088
60	280	3873	-40	-22	25	1	71	87	49	3771	49	74842088
33	299	3873	-38	-26	28	-2	74	84	50	3824	50	74842104
53	303	3864	-39	-21	29	-2	74	84	51	3924	51	74842111
53	285	3879	-35	-23	25	4	64	84	52	3977	52	74842113
53	285	3871	-39	-22	28	4	64	84	53	4077	53	74842113
32	290	3882	-40	-22	30	-4	66	80	54	4130	54	74842114
46	288	3860	-41	-21	27	-4	66	80	55	4230	55	74842129
42	297	3866	-38	-24	26	-8	62	94	56	4283	56	74842129
51	291	3873	-39	-24	30	-8	62	94	57	4383	57	74842132
37	281	3857	-39	-25	28	-3	63	77	58	4436	58	74842139
29	279	3884	-39	-26	27	-3	63	77	59	4536	59	74842139
42	315	3884	-37	-24	28	-3	69	85	60	4589	60	74842155
34	284	3866	-39	-22	27	-3	69	85	61	4689	61	74842156
31	290	3874	-38	-24	27	-2	68	84	62	4742	62	74842158
40	281	3871	-39	-24	29	-2	68	84	63	4842	63	74842160
37	290	3859	-39	-23	29	-2	68	82	64	4895	64	74842161
58	299	3877	-41	-23	28	-2	68	82	65	4995	65	74842180
36	291	3852	-41	-24	33	1	61	85	66	5048	66	74842181
37	286	3873	-42	-22	32	1	61	85	67	5148	67	74842183
46	268	3877	-39	-24	29	2	64	84	68	5201	68	74842185
58	290	3868	-40	-22	27	2	64	84	69	5301	69	74842186
38	283	3853	-38	-24	27	-6	70	80	70	5354	70	74842213
56	290	3874	-37	-22	28	-6	70	80	71	5454	71	74842215
47	287	3865	-41	-24	28	3	65	87	72	5507	72	74842216
47	284	3871	-39	-24	29	3	65	87	73	5607	73	74842217
56	284	3894	-40	-22	25	-5	67	85	74	5660	74	74842218
31	288	3873	-41	-24	27	-5	67	85	75	5760	75	74842230
30	283	3877	-39	-24	29	-1	63	85	76	5813	76	74842231
25	293	3863	-40	-23	27	-1	63	85	77	5913	77	74842233
40	285	3869	-39	-22	26	-1	65	81	78	5966	78	74842234
44	284	3872	-41	-22	28	-1	65	81	79	6066	79	74842235
33	287	3903	-39	-24	28	-6	66	84	80	6119	80	74842254
39	281	3873	-38	-22	26	-6	66	84	81	6219	81	74842254
44	280	3868	-40	-22	28	-3	63	93	82	6271	82	74842258
31	281	3875	-37	-23	27	-3	63	93	83	6372	83	74842258
45	278	3856	-40	-23	26	-5	63	83	84	6425	84	74842260
48	298	3852	-41	-23	27	-5	63	83	85	6525	85	74842279
46	276	3865	-39	-25	26	-2	66	88	86	6578	86	74842279
35	274	3870	-40	-21	24	-2	66	88	87	6678	87	74842282
47	291	3866	-36	-23	28	0	66	86	88	6731	88	74842283
42	288	3865	-38	-23	30	0	66	86	89	6831	89	74842285
33	278	3888	-39	-24	24	-5	71	83	90	6884	90	74842304
28	293	3857	-42	-24	28	-5	71	83	91	6984	91	74842304
39	275	3875	-38	-22	29	-2	66	92	92	7037	92	74842308
39	289	3893	-40	-21	27	-2	66	92	93	7137	93	74842308
44	281	3881	-39	-22	27	-2	64	84	94	7190	94	74842310
30	285	3860	-38	-23	29	-2	64	84	95	7290	95	74842329
56	268	3864	-37	-24	25	0	58	86	96	7343	96	74842329
