Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
-492	105	3999	-865	-845	-9080	-35	-17	173	0	0	0	72875893
-505	74	4049	-860	-839	-9073	-19	1	165	1	53	1	72875904
-521	161	4146	-830	-838	-9063	-19	1	165	2	153	2	72875904
-482	193	4144	-834	-844	-9048	-28	-4	156	3	206	3	72875908
-494	126	4095	-867	-846	-9068	-28	-4	156	4	306	4	72875941
-525	125	3995	-848	-839	-9075	-19	1	163	5	359	5	72875941
-482	173	3983	-838	-844	-9071	-19	1	163	6	459	6	72875944
-492	129	4086	-861	-842	-9065	-13	9	151	7	512	7	72875945
-532	100	4126	-865	-840	-9072	-13	9	151	8	613	8	72875948
-489	154	4076	-842	-851	-9075	-20	-6	158	9	665	9	72875949
-487	141	4028	-854	-840	-9087	-20	-6	158	10	765	10	72875949
-510	100	4040	-865	-839	-9072	-3	19	141	11	818	11	72875952
-483	121	4039	-845	-844	-9062	-3	19	141	12	918	12	72875952
-503	142	4093	-838	-839	-9068	-20	8	146	13	971	13	72875987
-502	119	4059	-850	-846	-9071	-5	9	145	15	993	14	72875990
-525	140	4046	-839	-839	-9081	-5	9	145	16	1093	15	72875991
-496	134	4037	-848	-845	-9078	-10	18	142	17	1146	16	72875992
-506	140	4095	-858	-842	-9081	-10	18	142	18	1247	17	72875994
-521	144	4093	-856	-840	-9088	-12	22	140	19	1300	18	72875995
-486	142	4053	-852	-847	-9060	-12	22	140	20	1400	19	72875999
-483	127	4059	-852	-843	-9076	0	24	128	21	1453	20	72876002
-505	115	4052	-859	-847	-9101	0	24	128	22	1553	21	72876003
-478	125	4051	-851	-846	-9073	-3	17	147	23	1606	22	72876037
-498	143	4054	-843	-839	-9050	-3	17	147	24	1706	23	72876038
-502	139	4061	-851	-843	-9074	0	18	138	25	1759	24	72876039
-501	119	4039	-853	-838	-9071	0	18	138	26	1859	25	72876041
-496	154	4040	-836	-837	-9070	3	27	133	27	1912	26	72876042
-499	145	4054	-850	-844	-9082	3	27	133	28	2012	27	72876044
-511	123	4096	-858	-833	-9091	-3	29	129	29	2065	28	72876045
-497	149	4063	-850	-842	-9051	-3	29	129	30	2165	29	72876048
-490	134	4076	-855	-847	-9050	9	29	125	31	2218	30	72876049
-490	109	4031	-859	-842	-9096	9	29	125	32	2319	31	72876052
-477	125	4053	-853	-848	-9058	6	30	130	33	2371	32	72876083
-498	135	4066	-846	-844	-9080	6	30	130	34	2471	33	72876083
-480	121	4077	-851	-843	-9083	15	33	127	35	2524	34	72876087
-491	107	4080	-852	-847	-9072	15	33	127	36	2624	35	72876087
-492	116	4061	-849	-842	-9065	15	41	123	37	2677	36	72876089
-477	141	4037	-847	-840	-9062	15	41	123	38	2777	37	72876091
-498	116	4057	-851	-842	-9064	18	40	116	39	2830	38	72876091
-494	135	4066	-849	-840	-9070	18	40	116	40	2930	39	72876096
-491	147	4094	-848	-832	-9058	27	37	123	41	2983	40	72876096
-499	143	4041	-854	-837	-9081	27	37	123	42	3084	41	72876099
-502	133	4046	-855	-845	-9073	20	36	124	43	3136	42	72876132
-487	136	4044	-848	-843	-9076	20	36	124	44	3236	43	72876133
-483	123	4047	-850	-844	-9059	27	37	115	45	3289	44	72876136
-476	115	4066	-854	-850	-9054	27	37	115	46	3389	45	72876136
-478	126	4074	-848	-849	-9074	24	46	112	47	3442	46	72876140
-492	126	4055	-850	-844	-9079	24	46	112	48	3542	47	72876140
-463	135	4032	-849	-840	-9086	22	44	110	49	3595	48	72876141
-490	131	4052	-852	-835	-9072	22	44	110	50	3695	49	72876145
-491	136	4051	-852	-833	-9087	31	41	109	51	3748	50	72876146
-492	131	4078	-851	-837	-9068	31	41	109	52	3848	51	72876150
-511	138	4070	-855	-839	-9080	32	44	114	53	3901	52	72876181
-478	126	4040	-854	-838	-9091	32	44	114	54	4001	53	72876182
-496	127	4057	-853	-839	-9045	37	47	105	55	4054	54	72876184
-472	124	4073	-850	-846	-9074	37	47	105	56	4154	55	72876185
-478	135	4072	-849	-845	-9062	36	48	108	57	4207	56	72876188
-504	130	4080	-846	-844	-9059	36	48	108	58	4307	57	72876189
-472	128	4044	-848	-844	-9090	38	50	106	59	4360	58	72876190
-465	144	4049	-852	-840	-9071	38	50	106	60	4460	59	72876194
-473	130	4057	-853	-841	-9078	33	53	105	61	4513	60	72876195
-474	123	4072	-852	-839	-9049	33	53	105	62	4614	61	72876228
-459	112	4070	-857	-837	-9056	37	47	107	63	4666	62	72876229
-488	130	4062	-850	-838	-9066	37	47	107	64	4766	63	72876230
-502	133	4068	-851	-837	-9089	39	51	109	65	4819	64	72876232
-508	131	4069	-852	-840	-9079	39	51	109	66	4919	65	72876232
-487	128	4099	-850	-845	-9074	44	54	102	67	4972	66	72876236
-494	153	4065	-848	-845	-9066	44	54	102	68	5072	67	72876236
-491	145	4053	-847	-847	-9061	44	52	104	69	5125	68	72876238
-467	126	4037	-853	-852	-9054	44	52	104	70	5225	69	72876245
-484	118	4045	-849	-849	-9060	46	54	106	71	5278	70	72876245
-452	142	4033	-848	-847	-9068	46	54	106	72	5378	71	72876254
-459	121	4037	-857	-844	-9088	51	53	111	73	5431	72	72876255
-483	134	4040	-857	-840	-9064	51	53	111	74	5532	73	72876260
-464	150	4043	-855	-833	-9073	56	50	104	75	5584	74	72876270
-469	140	4064	-853	-836	-9061	56	50	104	76	5684	75	72876271
-440	138	4076	-856	-839	-9068	57	55	111	77	5737	76	72876303
-488	126	4094	-854	-836	-9066	57	55	111	78	5837	77	72876304
-477	128	4077	-844	-839	-9048	61	59	113	79	5890	78	72876306
-477	135	4056	-848	-850	-9059	61	59	113	80	5991	79	72876308
-488	122	4064	-845	-849	-9080	65	61	109	81	6044	80	72876309
-468	150	4086	-843	-846	-9085	65	61	109	82	6144	81	72876311
