Accl X	Accl Y	Accl Z	Gyro X	Gyro Y	Gyro Z	Mag X	Mag Y	Mag Z	RPkt#	Rtime	LPkt#	Ltime
-627	4047	-256	-328	-9059	743	-318	70	76	0	0	0	76754384
-668	4088	-275	-307	-9063	727	-314	78	76	1	49	1	76754388
-662	4105	-312	-300	-9058	722	-314	78	76	2	145	2	76754389
-692	4091	-281	-320	-9057	739	-324	72	76	3	194	3	76754391
-645	4060	-263	-331	-9058	719	-324	72	76	4	290	4	76754409
-656	4044	-274	-327	-9055	735	-325	65	85	5	339	5	76754409
-631	4091	-268	-317	-9062	728	-325	65	85	6	435	6	76754412
-672	4082	-273	-310	-9062	720	-324	70	80	7	484	7	76754413
-657	4098	-301	-318	-9062	714	-324	70	80	8	580	8	76754416
-639	4066	-280	-325	-9061	731	-320	60	84	9	629	9	76754434
-664	4037	-282	-322	-9061	737	-320	60	84	10	725	10	76754434
-637	4059	-291	-314	-9051	741	-334	66	84	11	774	11	76754438
-669	4101	-290	-310	-9055	739	-334	66	84	12	871	12	76754438
-639	4087	-295	-331	-9055	716	-332	70	82	14	884	13	76754459
-628	4051	-262	-326	-9059	739	-336	60	90	15	933	14	76754459
-637	4048	-279	-313	-9053	730	-336	60	90	16	1029	15	76754462
-662	4090	-293	-301	-9054	717	-335	61	91	17	1078	16	76754463
-674	4093	-304	-315	-9055	723	-335	61	91	18	1175	17	76754465
-649	4093	-291	-331	-9055	764	-341	47	93	19	1223	18	76754484
-626	4056	-254	-334	-9051	741	-341	47	93	20	1319	19	76754484
-663	4073	-257	-324	-9060	724	-334	50	88	21	1368	20	76754488
-635	4087	-269	-304	-9058	707	-334	50	88	22	1464	21	76754488
-682	4091	-268	-308	-9057	723	-343	45	87	23	1513	22	76754508
-659	4077	-284	-319	-9058	745	-343	45	87	24	1609	23	76754509
-650	4071	-288	-326	-9056	728	-347	51	95	25	1658	24	76754511
-616	4078	-294	-323	-9057	743	-347	51	95	26	1754	25	76754512
-639	4058	-283	-316	-9054	748	-345	45	91	27	1803	26	76754513
-651	4070	-293	-313	-9056	722	-345	45	91	28	1899	27	76754534
-649	4095	-282	-319	-9053	739	-340	32	92	29	1948	28	76754534
-657	4085	-274	-322	-9059	747	-340	32	92	30	2044	29	76754536
-640	4066	-291	-324	-9055	743	-348	34	96	31	2093	30	76754537
-669	4069	-286	-316	-9055	719	-348	34	96	32	2189	31	76754538
-649	4057	-298	-310	-9057	701	-344	26	88	33	2238	32	76754559
-671	4073	-292	-314	-9056	711	-344	26	88	34	2334	33	76754560
-636	4078	-319	-322	-9053	749	-356	28	92	35	2383	34	76754561
-652	4075	-291	-327	-9052	745	-356	28	92	36	2479	35	76754567
-638	4073	-277	-322	-9053	747	-347	25	91	37	2528	36	76754567
-638	4069	-308	-317	-9056	711	-347	25	91	38	2624	37	76754584
-651	4071	-303	-313	-9050	706	-357	15	89	39	2673	38	76754584
-648	4081	-313	-310	-9053	728	-357	15	89	40	2769	39	76754586
-644	4098	-293	-318	-9052	730	-351	13	91	41	2818	40	76754588
-661	4090	-292	-329	-9054	732	-351	13	91	42	2914	41	76754589
-628	4052	-289	-323	-9055	713	-349	17	83	43	2963	42	76754609
-654	4072	-279	-323	-9053	721	-349	17	83	44	3059	43	76754609
-634	4080	-296	-314	-9061	722	-354	14	86	45	3108	44	76754611
-639	4084	-287	-314	-9059	721	-354	14	86	46	3204	45	76754612
-667	4059	-313	-322	-9054	731	-360	10	82	47	3253	46	76754613
-645	4082	-301	-315	-9052	727	-360	10	82	48	3349	47	76754634
-633	4083	-314	-320	-9049	739	-360	2	80	49	3398	48	76754634
-645	4079	-301	-321	-9055	741	-360	2	80	50	3494	49	76754637
-650	4070	-290	-320	-9054	745	-352	-4	80	51	3543	50	76754638
-663	4079	-291	-316	-9056	755	-352	-4	80	52	3639	51	76754640
-643	4093	-325	-316	-9055	758	-361	5	75	53	3688	52	76754659
-664	4082	-315	-314	-9053	743	-361	5	75	54	3784	53	76754659
-642	4065	-308	-321	-9054	727	-360	-10	72	55	3833	54	76754662
-666	4078	-299	-318	-9056	730	-360	-10	72	56	3929	55	76754664
-645	4067	-314	-319	-9053	705	-365	-3	63	57	3978	56	76754665
-657	4089	-281	-315	-9054	716	-365	-3	63	58	4074	57	76754684
-659	4083	-300	-320	-9050	716	-356	-14	74	59	4123	58	76754684
-649	4072	-305	-325	-9053	733	-356	-14	74	60	4219	59	76754687
-653	4062	-299	-319	-9061	745	-360	-10	70	61	4268	60	76754688
