Segments
100
,,Ben_Johnston:Lower,,,,,,Ben_Johnston:Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,146.438,-11.6814,1022.74,142.08,-13.4817,1197.19,164.024,-19.6279,1420.8,141.633,106.362,1419.8
2,0,146.339,-11.669,1022.76,141.925,-13.4663,1197.23,163.825,-19.6137,1420.85,141.427,106.368,1419.85
3,0,146.222,-11.7132,1022.82,141.791,-13.4368,1197.29,163.573,-19.6242,1420.91,141.214,106.357,1419.88
4,0,146.135,-11.706,1022.86,141.629,-13.44,1197.31,163.342,-19.5958,1420.97,140.983,106.34,1419.96
5,0,146.023,-11.7488,1022.89,141.475,-13.429,1197.36,163.141,-19.6131,1420.99,140.793,106.342,1420.03
6,0,145.907,-11.7887,1022.94,141.322,-13.4524,1197.39,162.962,-19.5771,1421.04,140.605,106.351,1420.07
7,0,145.798,-11.8241,1022.99,141.157,-13.4685,1197.43,162.746,-19.5864,1421.1,140.43,106.356,1420.11
8,0,145.702,-11.852,1023.05,140.996,-13.4922,1197.47,162.558,-19.5693,1421.15,140.298,106.358,1420.13
9,0,145.581,-11.878,1023.13,140.849,-13.5052,1197.53,162.357,-19.5911,1421.2,140.136,106.361,1420.19
10,0,145.465,-11.8662,1023.19,140.713,-13.5223,1197.58,162.122,-19.6242,1421.28,139.972,106.328,1420.25
11,0,145.333,-11.916,1023.24,140.571,-13.5568,1197.62,161.922,-19.6601,1421.34,139.836,106.297,1420.31
12,0,145.222,-11.9337,1023.24,140.4,-13.5856,1197.65,161.739,-19.6938,1421.37,139.713,106.264,1420.36
13,0,145.14,-11.9574,1023.24,140.284,-13.5939,1197.69,161.573,-19.7089,1421.41,139.555,106.221,1420.39
14,0,145.032,-11.9919,1023.23,140.147,-13.6197,1197.73,161.389,-19.7191,1421.46,139.445,106.154,1420.42
15,0,144.947,-12.0158,1023.22,140.007,-13.6841,1197.76,161.217,-19.7469,1421.51,139.3,106.11,1420.45
16,0,144.837,-12.045,1023.21,139.879,-13.7273,1197.78,161.049,-19.7883,1421.57,139.189,106.044,1420.47
17,0,144.733,-12.0795,1023.21,139.743,-13.7769,1197.8,160.897,-19.8076,1421.58,139.083,106.015,1420.49
18,0,144.622,-12.1145,1023.21,139.615,-13.8284,1197.81,160.746,-19.8475,1421.61,138.979,105.962,1420.52
19,0,144.526,-12.1266,1023.21,139.502,-13.8557,1197.83,160.63,-19.8711,1421.64,138.895,105.923,1420.54
20,0,144.439,-12.1328,1023.21,139.392,-13.8893,1197.84,160.528,-19.8838,1421.67,138.84,105.903,1420.54
