Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,6.08907,-6.59335,1029.74,24.3315,-8.03444,1153.43,2.73266,-6.73888,1401.43,21.9264,104.346,1326.11
2,0,6.08402,-6.61348,1029.73,24.3425,-8.06343,1153.42,2.74397,-6.77784,1401.41,21.9139,104.297,1326.09
3,0,6.07697,-6.61679,1029.73,24.3406,-8.08489,1153.42,2.76448,-6.80305,1401.4,21.961,104.281,1326.1
4,0,6.0558,-6.6362,1029.72,24.3289,-8.10296,1153.41,2.75984,-6.82695,1401.41,21.9402,104.235,1326.1
5,0,6.02958,-6.66228,1029.72,24.2998,-8.13377,1153.41,2.74471,-6.8514,1401.4,21.9406,104.198,1326.08
6,0,6.00738,-6.69325,1029.72,24.2842,-8.16943,1153.39,2.73868,-6.88371,1401.4,21.9585,104.162,1326.08
7,0,5.9901,-6.7171,1029.72,24.2764,-8.19741,1153.38,2.7388,-6.90665,1401.39,21.9712,104.125,1326.07
8,0,5.97359,-6.73835,1029.71,24.2699,-8.23755,1153.37,2.73592,-6.92902,1401.39,21.9788,104.109,1326.07
9,0,5.94558,-6.76908,1029.71,24.2608,-8.27835,1153.35,2.72896,-6.96122,1401.37,22.0042,104.09,1326.07
10,0,5.92611,-6.8031,1029.72,24.2383,-8.31058,1153.34,2.71928,-6.98815,1401.36,21.996,104.055,1326.07
11,0,5.90848,-6.83644,1029.71,24.2033,-8.33903,1153.35,2.70128,-7.0251,1401.36,21.989,104.021,1326.06
12,0,5.88012,-6.86809,1029.71,24.1657,-8.37648,1153.35,2.68668,-7.04643,1401.36,21.9876,104.002,1326.05
13,0,5.85593,-6.89664,1029.7,24.1308,-8.41368,1153.34,2.67498,-7.08031,1401.34,21.9929,103.974,1326.05
14,0,5.83289,-6.91907,1029.69,24.0887,-8.44642,1153.33,2.66415,-7.11261,1401.33,21.9867,103.94,1326.05
15,0,5.81226,-6.939,1029.69,24.0555,-8.47011,1153.32,2.64647,-7.13498,1401.32,21.9703,103.908,1326.04
16,0,5.76538,-6.97307,1029.69,24.0138,-8.49765,1153.31,2.62711,-7.17335,1401.31,21.9554,103.877,1326.04
17,0,5.73072,-7.00746,1029.7,23.9755,-8.53254,1153.31,2.60887,-7.21005,1401.31,21.9535,103.84,1326.04
18,0,5.69563,-7.03309,1029.71,23.9348,-8.56628,1153.3,2.58787,-7.25033,1401.31,21.9632,103.807,1326.02
