Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-10.6915,357.945,1018.85,-28.6438,382.122,1185.32,-26.0374,353.459,1454.79,-135.637,339.961,1340.41
2,0,-10.9606,358.24,1018.9,-28.4348,381.722,1185.65,-25.1821,352.559,1454.99,-134.834,338.723,1340.73
3,0,-11.3229,358.669,1018.92,-28.0696,381.214,1186.12,-24.1205,351.462,1455.19,-133.957,337.353,1341.08
4,0,-11.683,359.194,1018.91,-27.8309,380.885,1186.66,-23.1859,350.44,1455.51,-133.096,335.901,1341.51
5,0,-12.0617,359.895,1018.95,-27.4511,380.466,1187.27,-22.2929,349.522,1455.95,-132.145,334.239,1342.06
6,0,-12.3379,360.561,1019.04,-26.9026,379.875,1187.88,-21.0978,348.27,1456.36,-131.103,332.444,1342.61
7,0,-12.6505,361.444,1019.23,-26.227,379.324,1188.59,-19.9876,346.872,1456.82,-129.891,330.51,1343.18
8,0,-12.7774,362.182,1019.56,-25.4617,378.663,1189.49,-18.7339,345.367,1457.35,-128.599,328.422,1343.76
9,0,-12.9259,363.06,1020.01,-24.9168,378.444,1190.48,-17.3326,343.645,1457.92,-127.22,326.233,1344.5
10,0,-12.8589,363.858,1020.61,-23.9472,377.719,1191.58,-15.9037,341.806,1458.58,-125.43,324.003,1345.27
11,0,-13.0527,365.01,1021.42,-22.8922,376.942,1192.75,-14.2003,339.674,1459.28,-123.906,321.57,1346.2
12,0,-13.2784,366.12,1022.28,-21.8667,376.22,1193.9,-12.4194,337.426,1460.09,-122.257,318.923,1347.24
13,0,-13.5154,367.231,1023.33,-20.9422,375.509,1195.17,-10.3639,334.918,1460.94,-120.526,316.284,1348.46
14,0,-13.8281,368.481,1024.32,-20.242,375.059,1196.66,-8.14365,332.172,1461.89,-118.588,313.476,1349.77
15,0,-14.2745,369.866,1025.33,-19.6046,374.62,1198.34,-5.58453,329.1,1462.86,-116.545,310.592,1351.47
